,minimum,maximum,median,mean,std,25% quantile,40% quantile,50% quantile,60% quantile,75% quantile
76,0.0,1.0,0.0,0.3420526651226577,0.4637842590517073,0.0,0.0,0.0,0.0,1.0
77,0.0,1.0,0.0,0.3352510402078821,0.4659844573326703,0.0,0.0,0.0,0.0,1.0
78,0.0,1.0,0.0,0.3392137363572752,0.46365709389122883,0.0,0.0,0.0,0.0,1.0
79,0.0,1.0,0.0,0.34175189789811694,0.46282287510085224,0.0,0.0,0.0,0.0,1.0
80,0.0,1.0,0.0,0.34185171954348326,0.4627221490412427,0.0,0.0,0.0,0.0,1.0
81,0.0,1.0,0.0,0.3298872180451128,0.46841958175706505,0.0,0.0,0.0,0.0,1.0
82,0.0,1.0,0.0,0.3317669172932331,0.46709013454873194,0.0,0.0,0.0,0.0,1.0
83,0.0,1.0,0.0,0.3308270676691729,0.4675050482020584,0.0,0.0,0.0,0.0,1.0
84,0.0,1.0,0.0,0.33592435368907547,0.46639664258332475,0.0,0.0,0.0,0.0,1.0
85,0.0,1.0,0.0,0.3391667107664915,0.4653587399693694,0.0,0.0,0.0,0.0,1.0
86,0.0,1.0,0.0,0.3333166218839502,0.466343655177455,0.0,0.0,0.0,0.0,1.0
87,0.0,1.0,0.0,0.32925229590438115,0.46814020604034856,0.0,0.0,0.0,0.0,1.0
88,0.0,1.0,0.0,0.32831634937024295,0.4684241323289591,0.0,0.0,0.0,0.0,1.0
89,0.0,1.0,0.0,0.32825649536096557,0.46871236625023327,0.0,0.0,0.0,0.0,1.0
90,0.0,1.0,0.0,0.3298872180451128,0.46791770618500184,0.0,0.0,0.0,0.0,1.0
91,0.0,1.0,0.0,0.33407417047450244,0.46583799500921363,0.0,0.0,0.0,0.0,1.0
92,0.0,1.0,0.0,0.33547983825322536,0.46586032124825194,0.0,0.0,0.0,0.0,1.0
93,0.0,1.0,0.0,0.33001967990901243,0.4676832887163748,0.0,0.0,0.0,0.0,1.0
94,0.0,1.0,0.0,0.3333713409597618,0.46682801827948417,0.0,0.0,0.0,0.0,1.0
95,0.0,1.0,0.0,0.3308523027796356,0.4673775858273123,0.0,0.0,0.0,0.0,1.0
96,0.0,1.0,0.0,0.33658084484747874,0.465449446996465,0.0,0.0,0.0,0.0,1.0
97,0.0,1.0,0.0,0.32836236654782586,0.46840817619380287,0.0,0.0,0.0,0.0,1.0
98,0.0,1.0,0.0,0.33444800877659764,0.46610168116799544,0.0,0.0,0.0,0.0,1.0
99,0.0,1.0,0.0,0.33373746314018454,0.4658691797749369,0.0,0.0,0.0,0.0,1.0
100,0.0,1.0,0.0,0.33303951307069096,0.46643149486584035,0.0,0.0,0.0,0.0,1.0
101,0.0,1.0,0.0,0.33201589385720615,0.4670641335756974,0.0,0.0,0.0,0.0,1.0
102,0.0,1.0,0.0,0.32894736842105265,0.46832811446017913,0.0,0.0,0.0,0.0,1.0
103,0.0,1.0,0.0,0.32894736842105265,0.46832811446017913,0.0,0.0,0.0,0.0,1.0
104,0.0,1.0,0.0,0.32799807283238835,0.4686376122193569,0.0,0.0,0.0,0.0,1.0
105,0.0,1.0,0.0,0.33099484144922703,0.46731645209214423,0.0,0.0,0.0,0.0,1.0
106,0.0,1.0,0.0,0.3298872180451128,0.46791770618500184,0.0,0.0,0.0,0.0,1.0
107,0.0,1.0,0.0,0.3326777276592625,0.46661138866136476,0.0,0.0,0.0,0.0,1.0
108,0.0,1.0,0.0,0.334946629369314,0.4654082352046441,0.0,0.0,0.0,0.0,1.0
109,0.0,1.0,0.0,0.34024458200307667,0.46309247268951137,0.0,0.0,0.0,0.0,1.0
110,0.0,1.0,0.0,0.3449036144109042,0.4616421690347914,0.0,0.0,0.0,0.09449111825230683,1.0
111,0.0,1.0,0.0,0.3375773643399873,0.4641912910318667,0.0,0.0,0.0,0.0,1.0
112,0.0,1.0,0.0,0.3399838519610803,0.46303913104642236,0.0,0.0,0.0,0.0,1.0
113,0.0,1.0,0.0,0.33582940421490687,0.46483705547604737,0.0,0.0,0.0,0.0,1.0
114,0.0,1.0,0.0,0.3384789143834832,0.4642144145852698,0.0,0.0,0.0,0.0,1.0
115,0.0,1.0,0.0,0.34141355813936,0.46323477535782587,0.0,0.0,0.0,0.0,1.0
116,0.0,1.0,0.0,0.34141439009780766,0.46329172424395726,0.0,0.0,0.0,0.0,1.0
117,0.0,1.0,0.0,0.3423465595656967,0.46192117481025646,0.0,0.0,0.0,0.0,1.0
118,0.0,1.0,0.0,0.3392586439091231,0.46421512017178057,0.0,0.0,0.0,0.0,1.0
119,0.0,1.0,0.0,0.32890537099830724,0.468226201068907,0.0,0.0,0.0,0.0,1.0
120,0.0,1.0,0.0,0.3296119424635212,0.4679861563907573,0.0,0.0,0.0,0.0,1.0
121,0.0,1.0,0.0,0.3352510402078821,0.4654799562425789,0.0,0.0,0.0,0.0,1.0
122,0.0,1.0,0.0,0.33683163038817915,0.46464661697694476,0.0,0.0,0.0,0.0,1.0
123,0.0,1.0,0.0,0.33416344737183534,0.4662968751649061,0.0,0.0,0.0,0.0,1.0
124,0.0,1.0,0.0,0.33891397873805224,0.464340326782085,0.0,0.0,0.0,0.0,1.0
125,0.0,1.0,0.0,0.3304737024093951,0.4674366606987518,0.0,0.0,0.0,0.0,1.0
126,0.0,1.0,0.0,0.3303302674067585,0.4676608650442757,0.0,0.0,0.0,0.0,1.0
127,0.0,1.0,0.0,0.33124161003569,0.4670961871090274,0.0,0.0,0.0,0.0,1.0
128,0.0,1.0,0.0,0.33392280674213154,0.4659296985055654,0.0,0.0,0.0,0.0,1.0
129,0.0,1.0,0.0,0.3353124987292609,0.46540539568345984,0.0,0.0,0.0,0.0,1.0
130,0.0,1.0,0.0,0.34013490741730146,0.4630221029665508,0.0,0.0,0.0,0.0,1.0
131,0.0,1.0,0.0,0.3396412405941383,0.4633516801392356,0.0,0.0,0.0,0.0,1.0
132,0.0,1.0,0.0,0.3313775508859242,0.46689853065473375,0.0,0.0,0.0,0.0,1.0
133,0.0,1.0,0.0,0.332213542177218,0.46666251268507397,0.0,0.0,0.0,0.0,1.0
134,0.0,1.0,0.0,0.33498555786411277,0.4654295145969097,0.0,0.0,0.0,0.0,1.0
135,0.0,1.0,0.0,0.33619088983194223,0.4650542953506419,0.0,0.0,0.0,0.0,1.0
136,0.0,1.0,0.0,0.33685626368928423,0.46523893610407585,0.0,0.0,0.0,0.0,1.0
137,0.0,1.0,0.0,0.33284322361017826,0.4663878584358723,0.0,0.0,0.0,0.0,1.0
138,0.0,1.0,0.0,0.33324938935074216,0.466369605472296,0.0,0.0,0.0,0.0,1.0
139,0.0,1.0,0.0,0.331630357488066,0.4670387774292055,0.0,0.0,0.0,0.0,1.0
140,0.0,1.0,0.0,0.3325343012978644,0.46671196820668603,0.0,0.0,0.0,0.0,1.0
141,0.0,1.0,0.0,0.3284505681586382,0.468481664233744,0.0,0.0,0.0,0.0,1.0
142,0.0,1.0,0.0,0.3297026186305473,0.467986142524009,0.0,0.0,0.0,0.0,1.0
143,0.0,1.0,0.0,0.3332350835895326,0.4661371867147401,0.0,0.0,0.0,0.0,1.0
144,0.0,1.0,0.0,0.3352744838417001,0.4655051347834353,0.0,0.0,0.0,0.0,1.0
145,0.0,1.0,0.0,0.33379201178419105,0.46623343904754955,0.0,0.0,0.0,0.0,1.0
146,0.0,1.0,0.0,0.32706766917293234,0.46914220547155805,0.0,0.0,0.0,0.0,1.0
147,0.0,1.0,0.0,0.33055179208758134,0.46757411213803673,0.0,0.0,0.0,0.0,1.0
148,0.0,1.0,0.0,0.3289726035315153,0.46820097746803213,0.0,0.0,0.0,0.0,1.0
149,0.0,1.0,0.0,0.329537081034456,0.46790104556759865,0.0,0.0,0.0,0.0,1.0
150,0.0,1.0,0.0,0.33369916290723367,0.46602040393514915,0.0,0.0,0.0,0.0,1.0
151,0.0,1.0,0.0,0.3385977160850148,0.46415214898300017,0.0,0.0,0.0,0.0,1.0
152,0.0,1.0,0.0,0.3470646729378495,0.4616855736742209,0.0,0.0,0.0,0.0,1.0
153,0.0,1.0,0.0,0.33831956564403565,0.4641665496221645,0.0,0.0,0.0,0.0,1.0
154,0.0,1.0,0.0,0.32825357798628924,0.46851577885922546,0.0,0.0,0.0,0.0,1.0
155,0.0,1.0,0.0,0.3318348262714818,0.46694965081278034,0.0,0.0,0.0,0.0,1.0
156,0.0,1.0,0.0,0.33722835228760456,0.4649655622580042,0.0,0.0,0.0,0.0,1.0
157,0.0,1.0,0.0,0.3375514102804316,0.46503714547423475,0.0,0.0,0.0,0.0,1.0
158,0.0,1.0,0.0,0.33341942480249415,0.46635603325078573,0.0,0.0,0.0,0.0,1.0
159,0.0,1.0,0.0,0.32826992885162937,0.46871207251552,0.0,0.0,0.0,0.0,1.0
160,0.0,1.0,0.0,0.33559422476772244,0.465770994222959,0.0,0.0,0.0,0.0,1.0
161,0.0,1.0,0.0,0.33634036465332356,0.4649121098207085,0.0,0.0,0.0,0.0,1.0
162,0.0,1.0,0.0,0.33285216216013086,0.46665319302063446,0.0,0.0,0.0,0.0,1.0
163,0.0,1.0,0.0,0.33379201178419105,0.46623343904754955,0.0,0.0,0.0,0.0,1.0
164,0.0,1.0,0.0,0.32706766917293234,0.46914220547155805,0.0,0.0,0.0,0.0,1.0
165,0.0,1.0,0.0,0.32939041778269834,0.46807238812592356,0.0,0.0,0.0,0.0,1.0
166,0.0,1.0,0.0,0.3336342710203448,0.46603085236021546,0.0,0.0,0.0,0.0,1.0
167,0.0,1.0,0.0,0.33386071990709354,0.46642412337088357,0.0,0.0,0.0,0.0,1.0
168,0.0,1.0,0.0,0.3299058090989483,0.46775718864594173,0.0,0.0,0.0,0.0,1.0
169,0.0,1.0,0.0,0.3401252394738116,0.4631020861667295,0.0,0.0,0.0,0.0,1.0
170,0.0,1.0,0.0,0.3419928378358519,0.4625251391126298,0.0,0.0,0.0,0.0,1.0
171,0.0,1.0,0.0,0.34104265455014565,0.46323586235131603,0.0,0.0,0.0,0.0,1.0
172,0.0,1.0,0.0,0.33196771344949744,0.4667173616428964,0.0,0.0,0.0,0.0,1.0
173,0.0,1.0,0.0,0.33120152187778673,0.46710953475183653,0.0,0.0,0.0,0.0,1.0
174,0.0,1.0,0.0,0.33572168450332396,0.46524262721100357,0.0,0.0,0.0,0.0,1.0
175,0.0,1.0,0.0,0.33458646616541354,0.4658317991292492,0.0,0.0,0.0,0.0,1.0
176,0.0,1.0,0.0,0.33746719214433324,0.4640720464017775,0.0,0.0,0.0,0.0,1.0
177,0.0,1.0,0.0,0.3344565858266596,0.4658830327638306,0.0,0.0,0.0,0.0,1.0
178,0.0,1.0,0.0,0.3346643832412169,0.4661120060874303,0.0,0.0,0.0,0.0,1.0
179,0.0,1.0,0.0,0.32706766917293234,0.46914220547155805,0.0,0.0,0.0,0.0,1.0
